City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,6.73,45,0,5.14,US,1682375904
1,bethel,41.3712,-73.414,14.12,38,40,3.09,US,1682375904
2,kas,36.2018,29.6377,16.2,58,0,1.79,TR,1682375904
3,bilibino,68.0546,166.4372,-4.24,55,1,1.49,RU,1682375904
4,yellowknife,62.456,-114.3525,8.29,46,75,2.57,CA,1682375905
5,enewetak,11.3474,162.3373,26.26,86,100,7.63,MH,1682375905
6,polyarnyy,69.1989,33.4478,-6.81,82,5,4.9,RU,1682375905
7,stanley,54.868,-1.6985,2.06,83,0,3.09,GB,1682375905
8,cidreira,-30.1811,-50.2056,21.96,81,9,8.11,BR,1682375905
9,ribeira grande,38.5167,-28.7,17.1,94,47,6.71,PT,1682375906
10,grytviken,-54.2811,-36.5092,2.57,92,73,4.86,GS,1682375906
11,hamilton,39.1834,-84.5333,11.25,41,40,3.09,US,1682375730
12,whitehorse,60.7161,-135.0538,5.61,80,100,9.77,CA,1682375906
13,gadzhiyevo,69.2551,33.3362,-7.27,82,4,5.45,RU,1682375907
14,san ignacio de velasco,-16.3667,-60.95,21.7,97,39,1.73,BO,1682375907
15,kadugli,11.0167,29.7167,30.27,33,85,1.59,SD,1682375907
16,remire-montjoly,4.9167,-52.2667,24.02,100,0,1.03,GF,1682375907
17,minas de marcona,-15.2119,-75.1103,17.37,83,12,6.06,PE,1682375908
18,carnarvon,-24.8667,113.6333,18.99,67,97,7.45,AU,1682375908
19,puerto natales,-51.7236,-72.4875,5.78,91,87,3.19,CL,1682375908
20,dawei,14.0833,98.2,25.45,83,55,0.87,MM,1682375908
21,kavaratti,10.5669,72.642,28.03,71,58,2.64,IN,1682375909
22,mujiayingzi,42.1167,118.7833,8.25,59,100,5.24,CN,1682375909
23,adamstown,-25.066,-130.1015,25.62,86,98,6.69,PN,1682375909
24,turpan,42.9333,89.1667,17.15,16,28,0.52,CN,1682375909
25,santiago de cao,-7.9589,-79.2392,25.07,78,73,3.6,PE,1682375910
26,papatowai,-46.5619,169.4708,14.79,80,88,9.92,NZ,1682375910
27,afaahiti,-17.75,-149.2833,28.93,82,88,5.13,PF,1682375910
28,kodinsk,58.6881,99.1844,-0.19,89,100,1.49,RU,1682375910
29,bredasdorp,-34.5322,20.0403,14.82,84,2,2.19,ZA,1682375911
30,invercargill,-46.4,168.35,11.68,82,94,0.89,NZ,1682375734
31,holualoa,19.6228,-155.9522,25.99,77,40,4.12,US,1682375911
32,mosjoen,65.836,13.1908,-0.19,80,100,0.0,NO,1682375911
33,pachino,36.7186,15.0907,15.4,82,48,6.01,IT,1682375912
34,ushuaia,-54.8,-68.3,3.81,93,100,1.54,AR,1682375912
35,karbala,32.616,44.0249,20.92,65,17,3.56,IQ,1682375912
36,maksatikha,57.797,35.8825,10.97,65,52,1.87,RU,1682375912
37,mugia,43.1041,-9.2179,16.06,92,100,5.74,ES,1682375912
38,waitangi,-43.9535,-176.5597,12.68,66,67,2.68,NZ,1682375913
39,nacala,-14.5428,40.6728,20.75,92,0,2.88,MZ,1682375913
40,port-aux-francais,-49.35,70.2167,4.58,65,51,8.05,TF,1682375913
41,atafu village,-8.5421,-172.5159,29.29,71,68,4.66,TK,1682375742
42,las heras,-46.5419,-68.9359,16.17,28,65,12.15,AR,1682375913
43,mejit,10.2753,170.8646,27.19,81,93,9.66,MH,1682375914
44,nemuro,43.3236,145.575,5.01,67,13,7.59,JP,1682375914
45,astrakhan,46.3497,48.0408,13.93,77,93,2.0,RU,1682375914
46,warwick,41.7001,-71.4162,15.21,57,75,5.14,US,1682375914
47,shalqar,47.8333,59.6,12.5,49,63,4.28,KZ,1682375915
48,qarqaraly,49.4058,75.4742,2.25,79,11,1.58,KZ,1682375915
49,aasiaat,68.7098,-52.8699,-4.52,98,80,2.27,GL,1682375915
50,kashgar,39.4547,75.9797,16.56,23,0,5.0,CN,1682375915
51,grand falls-windsor,48.9332,-55.6649,2.5,93,100,0.45,CA,1682375916
52,slave lake,55.2834,-114.769,10.99,50,100,3.6,CA,1682375745
53,coronel marcelino mariduena,-2.2,-79.4167,25.28,90,92,0.97,EC,1682375916
54,college,64.8569,-147.8028,-4.4,49,75,5.14,US,1682375916
55,bamboo flat,11.7,92.7167,27.68,78,60,1.42,IN,1682375916
56,tanabe,33.7333,135.3667,10.56,92,100,1.31,JP,1682375917
57,prieska,-29.6641,22.7474,14.9,68,37,1.82,ZA,1682375917
58,chibougamau,49.9168,-74.3659,4.79,87,100,4.12,CA,1682375917
59,lucapa,-8.4192,20.7447,19.4,95,86,0.88,AO,1682375918
60,puerto maldonado,-12.6,-69.1833,28.22,74,0,0.0,PE,1682375637
61,tiksi,71.6872,128.8694,-6.0,94,100,5.9,RU,1682375918
62,blackmans bay,-43.0167,147.3167,13.07,84,100,2.71,AU,1682375918
63,fort st. john,56.2499,-120.8529,3.94,87,100,1.54,CA,1682375768
64,wailua homesteads,22.0669,-159.378,25.24,89,100,4.12,US,1682375919
65,fale old settlement,-9.3852,-171.2468,28.96,73,56,4.42,TK,1682375919
66,port elizabeth,-33.918,25.5701,17.95,94,20,3.09,ZA,1682375919
67,tisul',55.7611,88.3122,-0.07,92,100,7.48,RU,1682375920
68,tura,25.5198,90.2201,20.95,57,0,1.44,IN,1682375920
69,buldana,20.5333,76.1833,26.94,17,96,2.3,IN,1682375920
70,de aar,-30.6497,24.0123,16.05,33,55,2.61,ZA,1682375920
